stop_id,stop_name,stop_lat,stop_lon
de:08125:992:0:2,Oberheimbach,49.127557,9.497196
de:08126:10101:1:1,Bretzfeld Bahnhof,49.172712,9.440099
de:08126:10101:1:2,Bretzfeld Bahnhof,49.172706,9.440108
de:08126:10102:0:1,Bretzfeld Bildungszentrum,49.177845,9.434844
de:08126:10102:0:2,Bretzfeld Bildungszentrum,49.177898,9.434880
de:08126:10103:0:1,Bretzfeld Mitte,49.177751,9.439614
de:08126:10103:0:2,Bretzfeld Mitte,49.177751,9.439614
de:08126:10104:0:1,Bretzfeld Fa. Schulz,49.168055,9.440503
de:08126:10104:0:2,Bretzfeld Fa. Schulz,49.168055,9.440503
de:08126:10105:0:1,Bretzfeld Bretzfelder Hof,49.175525,9.438913
de:08126:10105:0:2,Bretzfeld Bretzfelder Hof,49.175678,9.439057
de:08126:10106:0:1,Adolzfurt Abzw. Scheppach,49.165740,9.444564
de:08126:10106:0:2,Adolzfurt Abzw. Scheppach,49.165740,9.444564
de:08126:10107:0:1,Adolzfurt Kindergarten,49.163614,9.444635
de:08126:10108:0:1,Adolzfurt Wiesentalstraße,49.164307,9.450115
de:08126:10108:0:2,Adolzfurt Wiesentalstraße,49.163508,9.451274
de:08126:10109:0:1,Geddelsbach Abzweig,49.158803,9.459862
de:08126:10109:0:2,Geddelsbach Abzweig,49.158803,9.459862
de:08126:10110:0:1,Adolzfurt Wiesental,49.153580,9.460041
de:08126:10110:0:2,Adolzfurt Wiesental,49.153609,9.460140
de:08126:10112:0:1,Bitzfeld Schule,49.191807,9.445857
de:08126:10112:0:2,Bitzfeld Schule,49.191702,9.445606
de:08126:10113:0:1,Bitzfeld Schumm,49.189776,9.444824
de:08126:10113:0:2,Bitzfeld Schumm,49.189729,9.444519
de:08126:10114:0:1,Bitzfeld Birkenhöfe,49.188391,9.426166
de:08126:10114:0:2,Bitzfeld Birkenhöfe,49.188303,9.425591
de:08126:10115:0:1,Bitzfeld Weißlensburg,49.203471,9.430415
de:08126:10115:0:2,Bitzfeld Weißlensburg,49.203471,9.430415
de:08126:10117:0:1,Dimbach Friedhof,49.167221,9.389775
de:08126:10117:0:2,Dimbach Friedhof,49.167221,9.389775
de:08126:10118:0:1,Dimbach Mitte,49.169388,9.384475
de:08126:10118:0:2,Dimbach Mitte,49.169388,9.384475
de:08126:10119:0:1,Geddelsbach,49.142668,9.499415
de:08126:10119:0:2,Geddelsbach,49.142668,9.499415
de:08126:10120:0:1,Adolzfurter Hälden,49.151306,9.473031
de:08126:10120:0:2,Adolzfurter Hälden,49.151612,9.472681
de:08126:10121:0:1,Geddelsbacher Hälden,49.147029,9.482607
de:08126:10121:0:2,Geddelsbacher Hälden,49.147029,9.482607
de:08126:10122:0:1,Rappach Erlenweg,49.175572,9.426400
de:08126:10122:0:2,Rappach Erlenweg,49.175725,9.425636
de:08126:10123:0:1,Rappach Ort,49.172695,9.424837
de:08126:10123:0:2,Rappach Ort,49.172695,9.424837
de:08126:10124:0:1,Bretzfeld Steinsfeldstraße,49.175807,9.429948
de:08126:10124:0:2,Bretzfeld Steinsfeldstraße,49.175807,9.429948
de:08126:10125:0:1,Scheppach Mitte,49.163749,9.438419
de:08126:10126:0:1,Schwabbach Hauptstraße,49.183247,9.403663
de:08126:10126:0:2,Schwabbach Hauptstraße,49.183247,9.403663
de:08126:10127:0:1,Schwabbach Volksbank,49.182026,9.404220
de:08126:10127:0:2,Schwabbach Volksbank,49.182026,9.404310
de:08126:10128:0:1,Siebeneich,49.192753,9.391195
de:08126:10128:0:2,Siebeneich,49.192753,9.391195
de:08126:10129:0:1,Waldbach Kirche,49.163414,9.407445
de:08126:10129:0:2,Waldbach Kirche,49.163414,9.407445
de:08126:10130:0:1,Waldbach Alte Schule,49.163197,9.404858
de:08126:10130:0:2,Waldbach Alte Schule,49.163197,9.404858
de:08126:10131:0:1,Schwabbach Kindergarten,49.185003,9.403169
de:08126:10131:0:2,Schwabbach Kindergarten,49.185003,9.403169
de:08126:10133:0:1,Schwabbach Schwabenstraße,49.181221,9.408056
de:08126:10133:0:2,Schwabbach Schwabenstraße,49.181221,9.408056
de:08126:10135:0:1,Waldbach Eschenauer Straße,49.159085,9.407670
de:08126:10149:0:1,Pfedelbach Kelterstraße,49.178332,9.509332
de:08126:10149:0:2,Pfedelbach Kelterstraße,49.178332,9.509332
de:08126:10150:0:1,Pfedelbach Ri-Strauß-Str/Kiga,49.180611,9.515279
de:08126:10150:0:2,Pfedelbach Ri-Strauß-Str/Kiga,49.180611,9.515279
de:08126:10151:0:1,Pfedelbach Weststraße,49.180975,9.503026
de:08126:10151:0:2,Pfedelbach Weststraße,49.180975,9.503026
de:08126:10152:0:1,Pfedelbach O.-Rettenmaier-Str.,49.180141,9.509637
de:08126:10152:0:2,Pfedelbach O.-Rettenmaier-Str.,49.180141,9.509637
de:08126:10153:0:1,Pfedelbach Huber,49.173581,9.502918
de:08126:10153:0:2,Pfedelbach Huber,49.173581,9.502918
de:08126:10154:0:1,Pfedelbach Katholische Kirche,49.177081,9.502972
de:08126:10154:0:2,Pfedelbach Katholische Kirche,49.177081,9.502972
de:08126:10155:0:1,Pfedelbach Schloß,49.176471,9.504167
de:08126:10155:0:2,Pfedelbach Schloß,49.176471,9.504167
de:08126:10156:0:1,Pfedelbach Schule,49.178503,9.502415
de:08126:10156:0:2,Pfedelbach Schule,49.178503,9.502415
de:08126:10157:0:1,Pfedelbach Orffstraße,49.181251,9.518109
de:08126:10157:0:2,Pfedelbach Orffstraße,49.181251,9.518109
de:08126:10158:0:1,Pfedelbach Erich-Fritz-Halle,49.179806,9.506502
